path,relative_path,label_name,label,width,height,channels,brightness,contrast,sha1,readable,issue,duplicate_sha1,split,fold,prob_defect,prediction,is_correct,experiment,top_region_intensity,low_region_intensity,brightness_meta,contrast_meta,path_meta,margin_from_threshold,error_type,error_margin_group,label_issue_risk
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\def_front\cast_def_0_7878.jpeg,train\def_front\cast_def_0_7878.jpeg,def_front,1,300,300,3,152.52293333333333,59.73630765154471,0f399cc515216f98158ce791f1814f75977b8301,True,,False,holdout,-1,0.0006094040876088,0,False,F3_lightgbm_weighted,0.2979623,0.7379471,152.52293333333333,59.73630765154471,C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\def_front\cast_def_0_7878.jpeg,0.4993905959123912,False Negative,high_confidence,review_label_or_outlier
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\def_front\cast_def_0_4669.jpeg,train\def_front\cast_def_0_4669.jpeg,def_front,1,300,300,3,151.6045,59.8611442495139,492d975af2f0b14aceeebc42b36f67d7bca13ab0,True,,False,holdout,-1,0.001306588955732,0,False,F3_lightgbm_weighted,0.30188394,0.73640907,151.6045,59.8611442495139,C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\def_front\cast_def_0_4669.jpeg,0.498693411044268,False Negative,high_confidence,review_label_or_outlier
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\def_front\cast_def_0_3464.jpeg,train\def_front\cast_def_0_3464.jpeg,def_front,1,300,300,3,152.41554444444444,59.74099560727145,c985b2c61c08883b59a76e4176db698aefb99538,True,,False,holdout,-1,0.0069812486069186,0,False,F3_lightgbm_weighted,0.29711655,0.7412535,152.41554444444444,59.74099560727145,C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\def_front\cast_def_0_3464.jpeg,0.4930187513930814,False Negative,high_confidence,review_label_or_outlier
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\def_front\cast_def_0_95.jpeg,train\def_front\cast_def_0_95.jpeg,def_front,1,300,300,3,155.43515555555555,59.63786768375186,4f6ef7136091f450545f4bef54ae859a73a15204,True,,False,holdout,-1,0.0864758532783603,0,False,F3_lightgbm_weighted,0.303268,0.73986924,155.43515555555555,59.63786768375186,C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\def_front\cast_def_0_95.jpeg,0.41352414672163973,False Negative,high_confidence,review_label_or_outlier
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\ok_front\cast_ok_0_9426.jpeg,train\ok_front\cast_ok_0_9426.jpeg,ok_front,0,300,300,3,138.0682888888889,59.3770824005814,82346df36179374facd108d4063b87606a939da9,True,,False,holdout,-1,0.8705708269035145,1,False,F3_lightgbm_weighted,0.26689732,0.6406769,138.0682888888889,59.3770824005814,C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\ok_front\cast_ok_0_9426.jpeg,0.3705708269035145,False Positive,high_confidence,likely_borderline_or_preprocessing_sensitive
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\ok_front\cast_ok_0_4816.jpeg,train\ok_front\cast_ok_0_4816.jpeg,ok_front,0,300,300,3,146.8339,60.030564989946775,6e8bb0342e896cb46f16d56c3d1d939979b2dba2,True,,False,holdout,-1,0.8652836921178693,1,False,F3_lightgbm_weighted,0.23883124,0.6456748,146.8339,60.030564989946775,C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\ok_front\cast_ok_0_4816.jpeg,0.36528369211786926,False Positive,high_confidence,likely_borderline_or_preprocessing_sensitive
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\ok_front\cast_ok_0_2641.jpeg,train\ok_front\cast_ok_0_2641.jpeg,ok_front,0,300,300,3,148.2269,58.70137869619797,33d7f6e13b44eaae90959b26b4cf21be39a2ca09,True,,False,holdout,-1,0.8649745004752313,1,False,F3_lightgbm_weighted,0.29565558,0.69204164,148.2269,58.70137869619797,C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\ok_front\cast_ok_0_2641.jpeg,0.3649745004752313,False Positive,high_confidence,likely_borderline_or_preprocessing_sensitive
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\def_front\cast_def_0_4505.jpeg,train\def_front\cast_def_0_4505.jpeg,def_front,1,300,300,3,145.01535555555554,60.645945616854455,571d09e02820a19b91e31fea7cce6a3f592a8034,True,,False,holdout,-1,0.2273253509689917,0,False,F3_lightgbm_weighted,0.28273743,0.6505189,145.01535555555554,60.645945616854455,C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\def_front\cast_def_0_4505.jpeg,0.2726746490310083,False Negative,high_confidence,likely_borderline_or_preprocessing_sensitive
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\ok_front\cast_ok_0_5945.jpeg,train\ok_front\cast_ok_0_5945.jpeg,ok_front,0,300,300,3,136.84644444444444,56.04655722028707,736214207de594abcf2b63d66d1e3e0fcc936d65,True,,False,holdout,-1,0.6885926611929805,1,False,F3_lightgbm_weighted,0.23729339,0.63644755,136.84644444444444,56.04655722028707,C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\ok_front\cast_ok_0_5945.jpeg,0.18859266119298046,False Positive,high_confidence,likely_borderline_or_preprocessing_sensitive
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\ok_front\cast_ok_0_1968.jpeg,train\ok_front\cast_ok_0_1968.jpeg,ok_front,0,300,300,3,148.52527777777777,60.6580373435152,a480e2a5898aa009874f4820a5c75f5f2298ed9b,True,,False,holdout,-1,0.6870056824992258,1,False,F3_lightgbm_weighted,0.23506348,0.6948098,148.52527777777777,60.6580373435152,C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\train\ok_front\cast_ok_0_1968.jpeg,0.18700568249922578,False Positive,high_confidence,likely_borderline_or_preprocessing_sensitive
