path,relative_path,label_name,label,width,height,channels,brightness,contrast,sha1,readable,issue,duplicate_sha1,split,fold
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1059.jpeg,test\def_front\cast_def_0_1059.jpeg,def_front,1,300,300,3,136.41812222222222,54.52457189629232,340888ae1c8f70c5505e79ec91d20cf833e48fe0,True,,False,train_valid,1
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1063.jpeg,test\def_front\cast_def_0_1063.jpeg,def_front,1,300,300,3,137.15245555555555,56.312757303131214,b1dd5ee1932080790950422a223fc1e757281fe3,True,,False,train_valid,3
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_108.jpeg,test\def_front\cast_def_0_108.jpeg,def_front,1,300,300,3,139.18893333333332,57.19533055703838,09ca2d6e877125eaf1f5bf185b2d2b557588c240,True,,False,train_valid,1
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1096.jpeg,test\def_front\cast_def_0_1096.jpeg,def_front,1,300,300,3,137.1784,56.270997425119255,74545d4a08c110b1ff57062fac85ae7c6b09ee1f,True,,False,train_valid,0
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_112.jpeg,test\def_front\cast_def_0_112.jpeg,def_front,1,300,300,3,138.33115555555557,58.27724810858123,727764f093905f83ddcbeacb4f12d596768848e0,True,,False,train_valid,2
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1134.jpeg,test\def_front\cast_def_0_1134.jpeg,def_front,1,300,300,3,138.01064444444444,60.18683205953334,74e8ef67d35dd1ca03b255c96455602d726dd291,True,,False,train_valid,3
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1136.jpeg,test\def_front\cast_def_0_1136.jpeg,def_front,1,300,300,3,142.64048888888888,61.87846490038077,30a2c2e48dcdba9073f40b152ceef9fcb7c1a34d,True,,False,holdout,-1
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1137.jpeg,test\def_front\cast_def_0_1137.jpeg,def_front,1,300,300,3,141.3001,56.62700706269836,05581b100841f7af26f51e7476289b843df32a21,True,,False,train_valid,0
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1153.jpeg,test\def_front\cast_def_0_1153.jpeg,def_front,1,300,300,3,133.90457777777777,53.712086423195665,e57f533d1d050d818b1d629c9b76d0ed1f9360d4,True,,False,train_valid,4
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1171.jpeg,test\def_front\cast_def_0_1171.jpeg,def_front,1,300,300,3,140.61736666666667,56.03035806654777,dfba36f1a3af6b43e95ab8ffbc70df1dbd4cc62f,True,,False,train_valid,1
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1172.jpeg,test\def_front\cast_def_0_1172.jpeg,def_front,1,300,300,3,143.4458,60.70080610963911,fe510106b7a3854a8c19e14da2bf2a9387c226c3,True,,False,train_valid,4
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1174.jpeg,test\def_front\cast_def_0_1174.jpeg,def_front,1,300,300,3,146.7158,56.15659897231827,a04571291ec7a313ec767ba8c3389d842c2aeaaf,True,,False,train_valid,1
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_118.jpeg,test\def_front\cast_def_0_118.jpeg,def_front,1,300,300,3,138.1862,58.647347923404745,6b194cacc3fe2e12812bcd3675dcbdd1d242807b,True,,False,train_valid,4
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1186.jpeg,test\def_front\cast_def_0_1186.jpeg,def_front,1,300,300,3,137.6638,55.44122165364765,e32c0ce018ff6f839e82bc77b2ba6760e23724a0,True,,False,train_valid,1
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1189.jpeg,test\def_front\cast_def_0_1189.jpeg,def_front,1,300,300,3,133.87433333333334,59.98798997484599,46460f10ace023ef055e32614d0df517bf178b7b,True,,False,train_valid,4
C:\Users\USER\Desktop\lg_vibe_ml\final\data\raw\casting_data\casting_data\test\def_front\cast_def_0_1191.jpeg,test\def_front\cast_def_0_1191.jpeg,def_front,1,300,300,3,138.67033333333333,62.4703983935147,170380461c14e39885289ec91608e3605f2e6856,True,,False,train_valid,1
